COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,ELEMENTO,TIPO_VIVIENDA,TIPO_MEDIDA,AÑO,VALOR
08,Barcelona,08284,Tordera,SUPERFICIE,COLECTIVA,MEDIANA,2017,80
08,Barcelona,08127,Monistrol de Montserrat,SUPERFICIE,COLECTIVA,MEDIANA,2015,80
08,Barcelona,08072,Corbera de Llobregat,SUPERFICIE,COLECTIVA,MEDIANA,2013,80
08,Barcelona,08091,Gelida,SUPERFICIE,COLECTIVA,MEDIANA,2013,80
08,Barcelona,08091,Gelida,SUPERFICIE,COLECTIVA,MEDIANA,2017,80
08,Barcelona,08126,Montgat,SUPERFICIE,COLECTIVA,MEDIANA,2016,80
08,Barcelona,08126,Montgat,SUPERFICIE,COLECTIVA,MEDIANA,2017,80
08,Barcelona,08136,Montornès del Vallès,SUPERFICIE,COLECTIVA,MEDIANA,2015,80
08,Barcelona,08136,Montornès del Vallès,SUPERFICIE,COLECTIVA,MEDIANA,2016,80
08,Barcelona,08136,Montornès del Vallès,SUPERFICIE,COLECTIVA,MEDIANA,2017,80
08,Barcelona,08138,Moià,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08006,Arenys de Mar,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08007,Arenys de Munt,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08159,Parets del Vallès,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08162,Hostalets de Pierola, Els,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08284,Tordera,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08033,Caldes de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08126,Montgat,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08221,Sant Just Desvern,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
08,Barcelona,08006,Arenys de Mar,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08010,Artés,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08012,Avinyó,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08259,Santa Maria de Palautordera,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08300,Viladecavalls,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08162,Hostalets de Pierola, Els,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08040,Canet de Mar,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
